기본 정보,,,,,
스테이지ID,웨이브ID,소환 주기(s),적ID,마릿수,길 인덱스
503,803,1,205,0,0
503,803,1,206,0,0
503,804,1,201,5,0
503,804,1,202,0,0
503,804,1,203,0,0
503,804,1,204,0,0
503,804,1,205,0,0
503,804,1,206,0,0
503,805,1,201,5,0
503,805,1,202,0,0
503,805,1,203,2,0
503,805,1,204,0,0
503,805,1,205,0,0
503,805,1,206,0,0
503,806,1,201,5,0
503,806,1,202,0,0
503,806,1,203,0,0
503,806,1,204,0,0
503,806,1,205,0,0
503,806,1,206,0,0
503,807,1,201,5,0
503,807,1,202,0,0
503,807,1,203,0,0
503,807,1,204,0,0
503,807,1,205,0,0
503,807,1,206,0,0
503,808,1,201,5,0
503,808,1,202,0,0
503,808,1,203,0,0
503,808,1,204,0,0
503,808,1,205,0,0
503,808,1,206,0,0
503,809,1,201,5,0
503,809,1,202,0,0
503,809,1,203,0,0
503,809,1,204,0,0
503,809,1,205,0,0
503,809,1,206,0,0
503,810,1,201,5,0
503,810,1,202,2,0
503,810,1,203,0,0
503,810,1,204,0,0
503,810,1,205,1,0
503,810,1,206,0,0
503,811,1,201,5,0
503,811,1,202,0,0
503,811,1,203,0,0
503,811,1,204,0,0
503,811,1,205,0,0
503,811,1,206,0,0
503,812,1,201,5,0
503,812,1,202,0,0
503,812,1,203,0,0
503,812,1,204,0,0
503,812,1,205,0,0
503,812,1,206,0,0
503,813,1,201,5,0
503,813,1,202,0,0
503,813,1,203,0,0
503,813,1,204,0,0
503,813,1,205,0,0
503,813,1,206,0,0
503,814,1,201,5,0
503,814,1,202,0,0
503,814,1,203,0,0
503,814,1,204,1,0
503,814,1,205,0,0
503,814,1,206,0,0
503,815,1,201,5,0
503,815,1,202,0,0
503,815,1,203,0,0
503,815,1,204,1,0
503,815,1,205,1,0
503,815,1,206,0,0
503,816,1,201,5,0
503,816,1,202,0,0
503,816,1,203,0,0
503,816,1,204,0,0
503,816,1,205,0,0
503,816,1,206,0,0
503,817,1,201,5,0
503,817,1,202,0,0
503,817,1,203,0,0
503,817,1,204,0,0
503,817,1,205,0,0
503,817,1,206,0,0
503,818,1,201,5,0
503,818,1,202,0,0
503,818,1,203,0,0
503,818,1,204,0,0
503,818,1,205,0,0
503,818,1,206,0,0
503,819,1,201,5,0
503,819,1,202,1,0
503,819,1,203,0,0
503,819,1,204,0,0
503,819,1,205,0,0
503,819,1,206,0,0
503,820,1,201,5,0
503,820,1,202,0,0
503,820,1,203,0,0
503,820,1,204,0,0
503,820,1,205,1,0
503,820,1,206,0,0
503,821,1,201,5,0
503,821,1,202,0,0
503,821,1,203,0,0
503,821,1,204,1,0
503,821,1,205,0,0
503,821,1,206,0,0
503,822,1,201,5,0
503,822,1,202,0,0
503,822,1,203,1,0
503,822,1,204,0,0
503,822,1,205,0,0
503,822,1,206,0,0
503,823,1,201,5,0
503,823,1,202,0,0
503,823,1,203,0,0
503,823,1,204,0,0
503,823,1,205,0,0
503,823,1,206,0,0
503,824,1,201,5,0
503,824,1,202,0,0
503,824,1,203,0,0
503,824,1,204,0,0
503,824,1,205,0,0
503,824,1,206,0,0
503,825,1,201,5,0
503,825,1,202,0,0
503,825,1,203,1,0
503,825,1,204,0,0
503,825,1,205,1,0
503,825,1,206,1,0
